premise	hypothesis	label
However, policymakers and business executives have adopted new ways of thinking, looking at different ways of achieving goals, and using new knowledge to formulate new policies.	Government agencies are changing their approaches.	0
However, policymakers and business executives have adopted new ways of thinking, looking at different ways of achieving goals, and using new knowledge to formulate new policies.	Government representatives are trying to expand their influence by thinking differently.	1
However, policymakers and business executives have adopted new ways of thinking, looking at different ways of achieving goals, and using new knowledge to formulate new policies.	Government agents refuse to change their ways of life.	2
Forensic documents may need to be translated for the benefit of those who read in languages other than English.	Forensic documents are permitted only in English.	2
Forensic documents may need to be translated for the benefit of those who read in languages other than English.	Court documents may be filed in Chinese or Russian.	1
Forensic documents may need to be translated for the benefit of those who read in languages other than English.	Charges may be filed in other languages.	0
Some of our current upcoming or planned efforts include	Much of what we are trying to do has already been done.	1
Some of our current upcoming or planned efforts include	We have no further plans for the future.	2
Some of our current upcoming or planned efforts include	We have another one planned.	0
Include such things as deadlines, deletion of original files and lack of access to necessary documents.	They deleted computer files from IBM.	1
Include such things as deadlines, deletion of original files and lack of access to necessary documents.	They erased the original computer files.	0
Include such things as deadlines, deletion of original files and lack of access to necessary documents.	They kept all the files of the original version.	2
Now, the same delegate who visited the first time visits the new provincial again to answer questions and to make presentations on the problems that have been identified in the crematoriums.	The ambassador's visit lasted for an hour.	1
Now, the same delegate who visited the first time visits the new provincial again to answer questions and to make presentations on the problems that have been identified in the crematoriums.	There was an ambassador's visit.	0
Now, the same delegate who visited the first time visits the new provincial again to answer questions and to make presentations on the problems that have been identified in the crematoriums.	We were never visited.	2
Conservation is not just about the quantity of wealth, but also the influence that wealth has on the decision to conserve it.	Whether a person saves money or not is a matter of personal preference.	0
Conservation is not just about the quantity of wealth, but also the influence that wealth has on the decision to conserve it.	Wealth and financial security are not always the same in either direction.	2
Conservation is not just about the quantity of wealth, but also the influence that wealth has on the decision to conserve it.	The rich can make ample provision for a large portion of their earnings.	1
For example, one merger that we reviewed required the company to discontinue new business ventures and reorganize in order to accommodate the needs of growing businesses.	On the other hand, when two businesses merge, there may be no need for a new management structure.	2
For example, one merger that we reviewed required the company to discontinue new business ventures and reorganize in order to accommodate the needs of growing businesses.	The merger of two companies and the reorganization resulted in a riot at the workplace.	1
For example, one merger that we reviewed required the company to discontinue new business ventures and reorganize in order to accommodate the needs of growing businesses.	We reviewed the merger and quickly reorganized to meet their business needs.	0
By design, we had the frustration of having the payment approved before we could actually see that people had left.	We knew that payment would be delayed.	2
By design, we had the frustration of having the payment approved before we could actually see that people had left.	We thought that the payment would be made before it could be verified.	0
By design, we had the frustration of having the payment approved before we could actually see that people had left.	We hoped that the money we had paid would soon be gone and that we would be robbed.	1
Technology is very much intertwined with business processes in these organizations because technology is seen as enabling the business, not as a tool.	Advanced computer programming is one of the key technologies that businesses increasingly need.	1
Technology is very much intertwined with business processes in these organizations because technology is seen as enabling the business, not as a tool.	Technology is merely a tool, not a driver, of business.	2
Technology is very much intertwined with business processes in these organizations because technology is seen as enabling the business, not as a tool.	These businesses place a great deal of emphasis on technology.	0
Two ideas that emerge most prominently in the literature may help inform future research.	Literature can change the way we evaluate our embryos.	1
Two ideas that emerge most prominently in the literature may help inform future research.	Papers can inform future research.	0
Two ideas that emerge most prominently in the literature may help inform future research.	There is no choice in the matter of translating research.	2
Lines made of boxes indicating the health status of the couriers were attached and lines with diamonds indicating the wrong destination served to the other party.	Marais estimates that the standard of living for postmen is somewhere around 10 percent.	1
Lines made of boxes indicating the health status of the couriers were attached and lines with diamonds indicating the wrong destination served to the other party.	Trains don't show anything but the way.	2
Lines made of boxes indicating the health status of the couriers were attached and lines with diamonds indicating the wrong destination served to the other party.	Lines indicate the health status of the postman	0
Based on this risk assessment, Centrelink has developed a variety of prevention strategies aimed at educating beneficiaries and employers about financial disclosure requirements.	Centrelink did not know how to solve the problem.	2
Based on this risk assessment, Centrelink has developed a variety of prevention strategies aimed at educating beneficiaries and employers about financial disclosure requirements.	Centrelink had several ways to train people to report revenue because the government was losing a lot of money due to fraud.	1
Based on this risk assessment, Centrelink has developed a variety of prevention strategies aimed at educating beneficiaries and employers about financial disclosure requirements.	Centerlink had several ways to teach people to report income.	0
They approved design prototypes before the company invested heavily in equipment and tools to create prototypes for the exhibition stage.	Now they could demonstrate the workings of design.	0
They approved design prototypes before the company invested heavily in equipment and tools to create prototypes for the exhibition stage.	They could prove to the company that it had no experience in building new factories.	1
They approved design prototypes before the company invested heavily in equipment and tools to create prototypes for the exhibition stage.	They lacked the experience to demonstrate the value of using wealth to produce more of it.	2
The South Carolina partnership yielded another breakthrough the following year.	No one in South Carolina worked together.	2
The South Carolina partnership yielded another breakthrough the following year.	The SC cooperated.	0
The South Carolina partnership yielded another breakthrough the following year.	Democrats and Republicans in South Carolina are working together.	1
According to a member of the Board, the Board's section 605 (b) certificates were not issued separately to the Small Business Administration (SBA) Chief Counsel for Advocacy.	The board did not give the SBA the permits and left them with the inspector's office.	1
According to a member of the Board, the Board's section 605 (b) certificates were not issued separately to the Small Business Administration (SBA) Chief Counsel for Advocacy.	The board did not give the SBA the necessary permits.	0
According to a member of the Board, the Board's section 605 (b) certificates were not issued separately to the Small Business Administration (SBA) Chief Counsel for Advocacy.	The board handed out SBA permits every day to anyone who requested one.	2
If there is a discrepancy in hotel rates and other factors, a review of the travel arrangements will be carried out.	Most of the country's hotel kiosks accept credit cards for payment.	1
If there is a discrepancy in hotel rates and other factors, a review of the travel arrangements will be carried out.	The trip itself is then evaluated against the cost of the hotel.	0
If there is a discrepancy in hotel rates and other factors, a review of the travel arrangements will be carried out.	There is no way to verify that a trip has been made or not.	2
For example, one metropolitan area that we visited has more than 600 software companies.	Big cities are prime locations for software companies.	1
For example, one metropolitan area that we visited has more than 600 software companies.	One city has a thousand software companies.	0
For example, one metropolitan area that we visited has more than 600 software companies.	Software companies often prefer cities for regulatory reasons.	2
In the measurement of excellence, perfection is impossible.	You can accomplish both if you put forth a lot of effort.	2
In the measurement of excellence, perfection is impossible.	You can't have it all.	0
In the measurement of excellence, perfection is impossible.	You can't do it all. We are all imperfect.	1
The roommate who rented the apartment to Hazmi and Mihdar during the 2000s is a law-abiding citizen who is well-known, friendly to police and FBI agents.	Hazmi and Mihdar bought a house and never contacted anyone.	2
The roommate who rented the apartment to Hazmi and Mihdar during the 2000s is a law-abiding citizen who is well-known, friendly to police and FBI agents.	Hazmi and Mihdar rented a room for a year for $500 a day.	1
The roommate who rented the apartment to Hazmi and Mihdar during the 2000s is a law-abiding citizen who is well-known, friendly to police and FBI agents.	Hazmi and Mihdar rented a room.	0
For his journey to Bosnia, see the documentary Warning, an interview with a Saudi al Qaeda member, on October 3rd, 2001.	An al Qaeda operative made 18 trips to Bosnia in 2001.	1
For his journey to Bosnia, see the documentary Warning, an interview with a Saudi al Qaeda member, on October 3rd, 2001.	A member of al Qaeda traveled to Bosnia.	0
For his journey to Bosnia, see the documentary Warning, an interview with a Saudi al Qaeda member, on October 3rd, 2001.	There is no evidence of an al Qaeda member traveling to Bosnia.	2
Jane asked the New York agent assigned to search for Mihdar to sign a FISA authorization form indicating that the agent understood how she was supposed to handle FISA cases.	Jane requested that the FISA form be signed by a judge.	1
Jane asked the New York agent assigned to search for Mihdar to sign a FISA authorization form indicating that the agent understood how she was supposed to handle FISA cases.	Jane asked for a FISA form to be signed.	0
Jane asked the New York agent assigned to search for Mihdar to sign a FISA authorization form indicating that the agent understood how she was supposed to handle FISA cases.	Jane said that no FISA form is necessary.	2
Nothing appears to be out of order than what has been carefully observed to be relevant according to the gate survey.	Shocking evidence was uncovered during an inspection of the checkpoint.	2
Nothing appears to be out of order than what has been carefully observed to be relevant according to the gate survey.	Checkpoint searches are only strengthened by the ability of the immigration officer to detect suspicion during the searches.	1
Nothing appears to be out of order than what has been carefully observed to be relevant according to the gate survey.	An examination of the investigation portal found no evidence against them.	0
Khallad then gives a second account, saying that the three went together to Karachi.	Khallad said that he knew nothing about the three.	2
Khallad then gives a second account, saying that the three went together to Karachi.	Khallad suggested that the three may have traveled together.	0
Khallad then gives a second account, saying that the three went together to Karachi.	Khallad said there was a 50 percent chance that the three would go to Karachi together in October	1
The appeal of intelligence, the interview of Bimalshibh, October 1st, 2002.	Binalshibh was interviewed by the FBI.	1
The appeal of intelligence, the interview of Bimalshibh, October 1st, 2002.	Binalshibh was interviewed in the year 2002.	0
The appeal of intelligence, the interview of Bimalshibh, October 1st, 2002.	Binalshibh was never mentioned to him, and then he disappeared.	2
Mihdar obtained a new U.S. visa two days after a CIA-FBI meeting in New York.	Mihdar had a US visa to enter the country.	0
Mihdar obtained a new U.S. visa two days after a CIA-FBI meeting in New York.	Mihdar never obtained a visa so he did not come to the US.	2
Mihdar obtained a new U.S. visa two days after a CIA-FBI meeting in New York.	Mihdar was granted a visa because he was not a threat.	1
Despite a two-year investigation, the FBI was unable to locate or identify his former associate.	The FBI had no luck locating this man when he fled Florida in 2001.	1
Despite a two-year investigation, the FBI was unable to locate or identify his former associate.	The FBI was unable to identify the man.	0
Despite a two-year investigation, the FBI was unable to locate or identify his former associate.	The FBI found out who the man was and arrested him.	2
On American Highway 11, the last meaningful transmission from an airplane was made at 8:13 a.m.	Reports were coming in from American11.	0
On American Highway 11, the last meaningful transmission from an airplane was made at 8:13 a.m.	News from America 11 was broadcast every five minutes.	1
On American Highway 11, the last meaningful transmission from an airplane was made at 8:13 a.m.	There has never been any communication from American 11.	2
To achieve this, it would require immediate and thorough cooperation from the German government, which would be difficult to achieve.	Upon completion of the investigation, it may reveal the location of the three escaped prisoners.	1
To achieve this, it would require immediate and thorough cooperation from the German government, which would be difficult to achieve.	The German government may have been anxious to conduct a prompt and thorough investigation.	0
To achieve this, it would require immediate and thorough cooperation from the German government, which would be difficult to achieve.	The investigation is relatively simple and relatively easy for the government to carry out.	2
The mechanisms behind these successes were imperfect but little was done to add or improve them.	They didn't change their screening program too much.	1
The mechanisms behind these successes were imperfect but little was done to add or improve them.	They have done little to change the situation.	0
The mechanisms behind these successes were imperfect but little was done to add or improve them.	They went to great lengths to change everything.	2
The investigator's email, however, reveals that he was confused by the numerous legal and regulatory obstacles to the sharing of information and rules governing the use of information by criminal offenders sought through fraudulent means.	The examiner gave a thorough examination	2
The investigator's email, however, reveals that he was confused by the numerous legal and regulatory obstacles to the sharing of information and rules governing the use of information by criminal offenders sought through fraudulent means.	The researcher did not clarify many things.	0
The investigator's email, however, reveals that he was confused by the numerous legal and regulatory obstacles to the sharing of information and rules governing the use of information by criminal offenders sought through fraudulent means.	The inspector's report was so badly corrupted that no one could read it.	1
Some office workers were assigned to help clear the steerwell while others were assigned to clear the Plaza, the Concourse, and the Path station.	The office staff was given assignments.	0
Some office workers were assigned to help clear the steerwell while others were assigned to clear the Plaza, the Concourse, and the Path station.	The office staff rushed to wherever they were needed.	2
Some office workers were assigned to help clear the steerwell while others were assigned to clear the Plaza, the Concourse, and the Path station.	Office workers were assigned accommodations according to their seniority.	1
On July 9, surprising news arrived from Afghanistan.	We have received news from Afghanistan.	0
On July 9, surprising news arrived from Afghanistan.	We didn't hear from Afghanistan until October.	2
On July 9, surprising news arrived from Afghanistan.	We were informed of the coming attack on July 9.	1
Failure to communicate has been a major factor in the World Trade Center, the Pentagon, and Somerset County, Pennsylvania, disaster areas where various agencies and administrations are located.	The message was successfully delivered on the eleventh day of the ninth month.	2
Failure to communicate has been a major factor in the World Trade Center, the Pentagon, and Somerset County, Pennsylvania, disaster areas where various agencies and administrations are located.	Telecommunications at the World Trade Center were disrupted because the power lines were down.	1
Failure to communicate has been a major factor in the World Trade Center, the Pentagon, and Somerset County, Pennsylvania, disaster areas where various agencies and administrations are located.	Communication at the World Trade Center had a difficult time.	0
A search of existing databases would have yielded driver's licenses, license plates, and telephone numbers.	The investigators also requested access to employment databases.	1
A search of existing databases would have yielded driver's licenses, license plates, and telephone numbers.	Many types of information contained in databases have been around for a long time.	0
A search of existing databases would have yielded driver's licenses, license plates, and telephone numbers.	There may be no way of obtaining information on the subjects from available sources.	2
Saying he was not satisfied with all that had been done, the leader distanced himself from Hazmi and Mihdhar, but not before they got the help they needed.	The president immediately contacted law enforcement officials and refused to intervene in the case.	2
Saying he was not satisfied with all that had been done, the leader distanced himself from Hazmi and Mihdhar, but not before they got the help they needed.	The president of the organization offered help despite his dissatisfaction.	0
Saying he was not satisfied with all that had been done, the leader distanced himself from Hazmi and Mihdhar, but not before they got the help they needed.	The assistance was both financial and in obtaining travel documents.	1
In 2003, these lists were eliminated; all cases of kidnapping in all countries were given one name, 315.	All items in the collection are given a high-value stamp.	1
In 2003, these lists were eliminated; all cases of kidnapping in all countries were given one name, 315.	All cases of theft receive the same stamp.	0
In 2003, these lists were eliminated; all cases of kidnapping in all countries were given one name, 315.	The whole issue of a bribe is judged on its own merits.	2
An office worker who had seen the South Tower collapse, reported to the ESU units in the North Tower his order to evacuate.	No one was left in the North Tower after the South Tower collapsed.	2
An office worker who had seen the South Tower collapse, reported to the ESU units in the North Tower his order to evacuate.	The South Tower collapsed thirty minutes before the office worker spoke to the ESU teams in the North Tower.	1
An office worker who had seen the South Tower collapse, reported to the ESU units in the North Tower his order to evacuate.	An office worker witnessed the collapse of the South tower.	0
Indianapolis is truly one of the best places for athletes to work for the masses.	Players love Indianapolis because of all the selectors there are.	1
Indianapolis is truly one of the best places for athletes to work for the masses.	If you're playing it, you should consider living in Indianapolis.	0
Indianapolis is truly one of the best places for athletes to work for the masses.	It's hard to get a job in Indianapolis if you're in the film or theater business as it's primarily a tech hub.	2
We provide telephone support 24 hours a day, seven days a week through the Prevention Information Resource Center &amp; Parent Help line.	People can contact us only by letter or by e-mail.	2
We provide telephone support 24 hours a day, seven days a week through the Prevention Information Resource Center &amp; Parent Help line.	We can be reached by telephone at any time of the day.	0
We provide telephone support 24 hours a day, seven days a week through the Prevention Information Resource Center &amp; Parent Help line.	We receive over 100 calls every Monday and Friday.	1
Because these boxes will sit in their wrappings when all the other gifts are opened,	The boxes are loaded with dangerous explosives.	1
Because these boxes will sit in their wrappings when all the other gifts are opened,	These boxes will be opened before any other donations	2
Because these boxes will sit in their wrappings when all the other gifts are opened,	These boxes will remain sealed for a period of time.	0
Keeping our prices low, we should come to you, our audience, asking what you can contribute to help us achieve this goal.	To keep the cost of our tickets under $10, we need all of our listeners to make a donation of $25.	1
Keeping our prices low, we should come to you, our audience, asking what you can contribute to help us achieve this goal.	We could keep our prices down if we really wanted to, without your money, but our bosses want what's best for them.	2
Keeping our prices low, we should come to you, our audience, asking what you can contribute to help us achieve this goal.	What you can give us helps us to keep our prices low.	0
00 has helped make it possible for us to provide guidance, encouragement, and joy to 400 aspiring children in the Indianapolis area.	Thanks to our generous donors, we were able to invite Beyonce to perform a concert for Indianapolis orphans.	1
00 has helped make it possible for us to provide guidance, encouragement, and joy to 400 aspiring children in the Indianapolis area.	We had hoped to have a Christmas party for the children, but we were never able to do anything for them.	2
00 has helped make it possible for us to provide guidance, encouragement, and joy to 400 aspiring children in the Indianapolis area.	We were able to help many Indianapolis children.	0
At first, people participated by donating $1,000 or more a year to the Chancellor's Circle or $500 or more to the Chancellors Associates.	People can participate if they make a small donation of $50.	2
At first, people participated by donating $1,000 or more a year to the Chancellor's Circle or $500 or more to the Chancellors Associates.	Individuals can participate if they provide substantial appropriate assistance.	0
At first, people participated by donating $1,000 or more a year to the Chancellor's Circle or $500 or more to the Chancellors Associates.	Many people often choose to donate to Chancellors Associates.	1
A trust benefiting a religious organization may provide certain tax advantages.	A donation of up to $1,000 may qualify for a tax deduction.	1
A trust benefiting a religious organization may provide certain tax advantages.	Worse still, tax experts warn you against giving gifts.	2
A trust benefiting a religious organization may provide certain tax advantages.	A trust benefiting a religious organization may provide certain tax advantages.	0
As you know, the members of this group include those friends and former students here who donate a thousand dollars or more each year to the law school.	Some members of the group donated hundreds of thousands of dollars to the school.	1
As you know, the members of this group include those friends and former students here who donate a thousand dollars or more each year to the law school.	We have people in this group who have donated over a thousand dollars to the law school.	0
As you know, the members of this group include those friends and former students here who donate a thousand dollars or more each year to the law school.	We are planning to ask this group to donate money to the school, but we have never done so.	2
As a child growing up in the fifties, one of my fondest memories was of going to plays produced by the Civic Theatre.	As a child, I hated going to carnivals, so I became a nun.	2
As a child growing up in the fifties, one of my fondest memories was of going to plays produced by the Civic Theatre.	I loved going to the gym when I was a kid.	0
As a child growing up in the fifties, one of my fondest memories was of going to plays produced by the Civic Theatre.	My favorite Civic Theatre production was Beauty and the Beast.	1
If everyone who receives this letter donates at least $18.	Everyone will get this letter: don't give your money away, it's a scam.	2
If everyone who receives this letter donates at least $18.	If you withdraw $18 from the charity fund, we'll give you a gift.	1
If everyone who receives this letter donates at least $18.	We hope all those who received the letters will give us a donation of 18 dollars.	0
Just remove the bottom one, see what is available, change your address if necessary, and send in a sealed envelope.	Please do not change anything at your addresses.	2
Just remove the bottom one, see what is available, change your address if necessary, and send in a sealed envelope.	There is a white envelope inside with your address.	1
Just remove the bottom one, see what is available, change your address if necessary, and send in a sealed envelope.	You can change your address if you feel it is appropriate to do so.	0
The school of nursing needs your free help to move forward and promote its academic excellence.	Please donate a hundred million dollars to the nursing school, or you lose that adorable look.	1
The school of nursing needs your free help to move forward and promote its academic excellence.	The nursing school has reached its financial goal, so it does not need additional funds.	2
The school of nursing needs your free help to move forward and promote its academic excellence.	We hope you will provide assistance at the nursing school.	0
Eight percent of the program participants will report an increase in conflict resolution skills.	More than half of the participants will report an increase in conflict resolution skills.	0
Eight percent of the program participants will report an increase in conflict resolution skills.	A quarter of the participants in the program will report an increase in conflict resolution skills.	2
Eight percent of the program participants will report an increase in conflict resolution skills.	There were more than a hundred independent participants in the program.	1
Please do not go back and write down the names of the volunteers who eventually stopped.	It would be embarrassing if you stopped to help.	0
Please do not go back and write down the names of the volunteers who eventually stopped.	The names of those who gave us relief are published for the world to see, so trust me, you don't want that kind of embarrassment!	1
Please do not go back and write down the names of the volunteers who eventually stopped.	We have a lot of volunteers, please stop by for help.	2
The entrance to our stadiums is open to anyone with a computer and a modem.	People do not need anything to get into the stadium.	2
The entrance to our stadiums is open to anyone with a computer and a modem.	People need both computers and modems to get into the stadium.	0
The entrance to our stadiums is open to anyone with a computer and a modem.	People must carry their computers and monitors into the stadium, in order to have access to it.	1
Selling tickets and registration fees cannot provide us with funds to cover the entire season.	With just enough money for tickets and registration fees, we will have enough money for the entire season.	2
Selling tickets and registration fees cannot provide us with funds to cover the entire season.	Our full season costs more than just ticket sales and registration fees.	0
Selling tickets and registration fees cannot provide us with funds to cover the entire season.	Ticket sales and registration fees account for only 70 percent of the money needed to complete the season.	1
A NEW GROUND of happiness is on the way!	Each donation is listed and announced in our monthly calendar.	1
A NEW GROUND of happiness is on the way!	Every gift that has been given serves some purpose.	0
A NEW GROUND of happiness is on the way!	Donations of just over $100 make all the difference.	2
We have a long way to go before we reach our $300 goal, with 65 from our friends and fans like you.	Our fundraising goal is over $300,000.	0
We have a long way to go before we reach our $300 goal, with 65 from our friends and fans like you.	We expect to triple our financial targets.	1
We have a long way to go before we reach our $300 goal, with 65 from our friends and fans like you.	We have no limitations that can be compared with money matters.	2
Our Civil Practice Clinic has operated for many years, and now we have added a Criminal defense Clinic.	Our Civil Practice Clinic has been in operation for eight years.	1
Our Civil Practice Clinic has operated for many years, and now we have added a Criminal defense Clinic.	Our Civil practice Clinic is celebrating its first full year of operation next month.	2
Our Civil Practice Clinic has operated for many years, and now we have added a Criminal defense Clinic.	The Civil practice Clinic has been operating for over a year.	0
Ticket revenues are not enough to cover the cost of all these programs.	It seems that the cost of these programs cannot be entirely covered by ticket revenues.	0
Ticket revenues are not enough to cover the cost of all these programs.	The cost of these programs is very high.	1
Ticket revenues are not enough to cover the cost of all these programs.	The ticket price includes the cost of these programs.	2
Love conquers all (unless you work for Weekly Standard): Brit Hume (Fox Sunday News) speculates on why Lewinsky might quit. She is still in love with the world's most hopeless president.	Brit Hume is the lead news anchor at Fox.	1
Love conquers all (unless you work for Weekly Standard): Brit Hume (Fox Sunday News) speculates on why Lewinsky might quit. She is still in love with the world's most hopeless president.	Brit Hume is working for CNN.	2
Love conquers all (unless you work for Weekly Standard): Brit Hume (Fox Sunday News) speculates on why Lewinsky might quit. She is still in love with the world's most hopeless president.	Brit Hume works for Fox.	0
Much has been done with Michael Apted's hiring to create a recognizable brand in sports broadcasting.	Michael Apted ruined the film by forcing the removal of all the sympathetic elements of the character.	2
Much has been done with Michael Apted's hiring to create a recognizable brand in sports broadcasting.	Michael Apted was hired to promote ethics in the sports industry.	0
Much has been done with Michael Apted's hiring to create a recognizable brand in sports broadcasting.	The film was considered to be cold and scary, so it was important to cast Michael Apted to increase its quality and appeal.	1
To seduce a girl in a white fur coat and boots.	A girl dressed for skiing.	1
To seduce a girl in a white fur coat and boots.	A girl in a white dress.	0
To seduce a girl in a white fur coat and boots.	The girl in the red dress.	2
What the film didn't do was say that Kaufman had always talked about how he wanted to end his life.	The film does not show Kaufman discussing his death.	0
What the film didn't do was say that Kaufman had always talked about how he wanted to end his life.	The film featured an in-depth interview with Kaufman about his death.	2
What the film didn't do was say that Kaufman had always talked about how he wanted to end his life.	The film was glorious, though it left an important legacy for Kaufman.	1
Rockefeller was caught in the act when the Avenging Angel Tarbell began to tear his flesh in McClure.	Rockfeller contributed to cancer research.	1
Rockefeller was caught in the act when the Avenging Angel Tarbell began to tear his flesh in McClure.	Rockefeller was generous.	0
Rockefeller was caught in the act when the Avenging Angel Tarbell began to tear his flesh in McClure.	Rockefeller was a teetotaler.	2
Recently, in a business case in New York, Klayman found himself on the other side of an accusation of racism.	Klayman was indicted in a racially motivated case in California.	2
Recently, in a business case in New York, Klayman found himself on the other side of an accusation of racism.	Klayman did not expect to be charged with racism.	1
Recently, in a business case in New York, Klayman found himself on the other side of an accusation of racism.	There were accusations of racism against Klayman.	0
One would hardly expect corporate representatives to fill a room whistling, shouting and yelling at the US secretary of labor.	Company representatives wear suits.	1
One would hardly expect corporate representatives to fill a room whistling, shouting and yelling at the US secretary of labor.	One would expect company representatives to sound the trumpet.	2
One would hardly expect corporate representatives to fill a room whistling, shouting and yelling at the US secretary of labor.	One would hardly expect a corporate representative to play the harp.	0
Just because a person's development is largely determined by the athlete's skill, it does not mean that physical birth is useless.	Athletes are born with all their abilities.	2
Just because a person's development is largely determined by the athlete's skill, it does not mean that physical birth is useless.	Running is more a matter of practice than of instinct.	0
Just because a person's development is largely determined by the athlete's skill, it does not mean that physical birth is useless.	Many serious athletes train eight hours a day.	1
When I got home, I learned that the United States had stopped supplying us in two ways.	I am interested in politics.	1
When I got home, I learned that the United States had stopped supplying us in two ways.	I learned about the United States.	0
When I got home, I learned that the United States had stopped supplying us in two ways.	I learned that the United States had suspended our shipments in two ways before I arrived home.	2
The world's oldest and largest university publishing house - Oxford - has just announced that it has retired from systematic poetry.	The poems of the Oxford system are no longer in continuous production.	0
The world's oldest and largest university publishing house - Oxford - has just announced that it has retired from systematic poetry.	A prestigious university does not have the funds to continue the poetry of the system of things.	1
The world's oldest and largest university publishing house - Oxford - has just announced that it has retired from systematic poetry.	The university is committed to preserving the poetry of the system of things and vows never to abandon it.	2
There is a reward for comforting people there.	The consolation prize is also a speed blender given away for free to everyone.	1
There is a reward for comforting people there.	There is no better side to the people in a case like this.	2
There is a reward for comforting people there.	These are not just bad news for people.	0
Sports are not the only betting on these sites.	Gambling on politics and elections is also permitted on these sites.	1
Sports are not the only betting on these sites.	These establishments accept only sports betting.	2
Sports are not the only betting on these sites.	These sites cater to a wide range of gambling activities.	0
On August 25, after the Democratic convention opened in Atlantic City, N.J., Johnson, then 56, threatened in three captured speeches that he would withdraw from the presidential race.	Johnson felt a lack of support.	1
On August 25, after the Democratic convention opened in Atlantic City, N.J., Johnson, then 56, threatened in three captured speeches that he would withdraw from the presidential race.	Johnson never considered quitting.	2
On August 25, after the Democratic convention opened in Atlantic City, N.J., Johnson, then 56, threatened in three captured speeches that he would withdraw from the presidential race.	Johnson threatened to withdraw from it.	0
Lamar Alexander dropped out of the race to become the nation's top leader.	One by one the rivals abandoned the attempt to become the supreme leader	0
Lamar Alexander dropped out of the race to become the nation's top leader.	Lama Alexander refused to renounce his candidacy for the presidency.	2
Lamar Alexander dropped out of the race to become the nation's top leader.	The Alexanders were forced out after their indecent photographs were made public.	1
On top of the scandalous case of abuse of public power, there is the FBI's misuse of the White House's first immigration investigative office and what became known as Filegate.	Whitehouse sent FBI spies to the political contenders.	1
On top of the scandalous case of abuse of public power, there is the FBI's misuse of the White House's first immigration investigative office and what became known as Filegate.	The Whitehouse is abusing the FBI.	0
On top of the scandalous case of abuse of public power, there is the FBI's misuse of the White House's first immigration investigative office and what became known as Filegate.	The Whitehouse is using the FBI for good.	2
Tung has vowed to follow the real estate industry but many feel that his words will outweigh his actions.	Tung is not a real-estate investor.	2
Tung has vowed to follow the real estate industry but many feel that his words will outweigh his actions.	Tung suspects that real estate appraisers are acting illegally	1
Tung has vowed to follow the real estate industry but many feel that his words will outweigh his actions.	Tung wants to influence real estate buyers	0
The complaint included problems with airline tickets, flight attendants who simply ignored them, frequent cancellations of flights, and problems with payment procedures.	Ten people lost their belongings.	1
The complaint included problems with airline tickets, flight attendants who simply ignored them, frequent cancellations of flights, and problems with payment procedures.	People complained about the colors.	0
The complaint included problems with airline tickets, flight attendants who simply ignored them, frequent cancellations of flights, and problems with payment procedures.	There would be no complaining at all.	2
Lawrence Singleton, the notorious gangster who cut off one of the killers' hands and spent eight years in prison, was convicted of stabbing and killing a woman in Florida.	After cutting off the hands of one of his victims, he tried to bury them in a garbage can.	1
Lawrence Singleton, the notorious gangster who cut off one of the killers' hands and spent eight years in prison, was convicted of stabbing and killing a woman in Florida.	It was obvious to everyone that his time in prison had completely transformed him.	2
Lawrence Singleton, the notorious gangster who cut off one of the killers' hands and spent eight years in prison, was convicted of stabbing and killing a woman in Florida.	Mr. Singleton is a convicted rapist in Florida.	0
Charles Lane of the New Republic argues that the news of the kidnapping only adds to García Márquez's reputation for dishonesty in news reporting.	Charles Lane is a journalist.	0
Charles Lane of the New Republic argues that the news of the kidnapping only adds to García Márquez's reputation for dishonesty in news reporting.	Charles Lane was a car salesman.	2
Charles Lane of the New Republic argues that the news of the kidnapping only adds to García Márquez's reputation for dishonesty in news reporting.	Charles Lane won the Pulitzer.	1
Because it's not just a political game being played in Washington this morning.	Because it is not the only political forum in Washington.	0
Because it's not just a political game being played in Washington this morning.	The day of violence and judgment begins at dawn.	1
Because it's not just a political game being played in Washington this morning.	There is a lot of hypocrisy in the courts and people are acting impartially.	2
Imagine a bulldozer driver cutting a road in a new area and receiving a compliment from a construction supervisor.	Imagine the driver of a bulldozer lifting it up.	1
Imagine a bulldozer driver cutting a road in a new area and receiving a compliment from a construction supervisor.	Consider the driver of a tractor-trailer.	0
Imagine a bulldozer driver cutting a road in a new area and receiving a compliment from a construction supervisor.	You cannot imagine the driver of a tractor-trailer.	2
I mentioned this in a letter to the doctor, and he seemed pleased, so he sent me a fruit cake for Christmas.	I am sure that the doctor received the letter I sent him.	0
I mentioned this in a letter to the doctor, and he seemed pleased, so he sent me a fruit cake for Christmas.	I didn't eat the doctor's cake that Christmas.	1
I mentioned this in a letter to the doctor, and he seemed pleased, so he sent me a fruit cake for Christmas.	The doctor sent me a bottle of wine for Christmas.	2
The team was formerly known by the nickname Beaneaters, which can, oddly enough, be taken as an Indian nickname.	The group changed its name because it was unpopular.	1
The team was formerly known by the nickname Beaneaters, which can, oddly enough, be taken as an Indian nickname.	The club had a name on the back of it that could be seen as an Indian nickname.	0
The team was formerly known by the nickname Beaneaters, which can, oddly enough, be taken as an Indian nickname.	The group came up with just one name.	2
I could not find such an explanation in a dictionary.	I found an explanation in a dictionary.	2
